organisation_id,survey_data_id,ecd_name,center_type_name,center_active,name_of_contact_person,phone_number_contact_person,group_village_head,district,ecd_code,cbcc_code,name_data_collector,date_data_collection,parliamentary_constituency,village,traditional_authority,name_nearest_town_trading_center,latitude,longitude,global_positioning_system_eastings,global_positioning_system_northings,non_governmental_organisation_supporting_ecd,community_based_organisation_supporting_ecd,caregivers_male,caregivers_female,caregivers_total,trained_caregivers_male,trained_caregivers_female,trained_caregivers_total,untrained_caregivers_male,untrained_caregivers_female,untrained_caregivers_total,dropped_care_givers_3_years_male,dropped_care_givers_3_years_female,dropped_care_givers_3_years_total,parent_committee_members_male,parent_committee_members_female,parent_committee_members_total,dropped_trained_caregivers_3_years_male,dropped_trained_caregivers_3_years_female,dropped_trained_caregivers_3_years_total,registered_male,registered_female,registered_total,attendance_visit_day_male,attendance_visit_day_female,attendance_visit_day_total,transition_primary_school_male,transition_primary_school_female,transition_primary_school_total,orphan_male,orphan_female,orphan_total,special_needs_male,special_needs_female,special_needs_total,ecd_structure,structure_type_name,class_room_number,has_toilet,toilet_number,toilet_child_friendly,has_water_supply,water_source_type_name,distance_to_water_source_meters,has_garden,garden_size_acres,irrigable_dimba_land,irrigable_dimba_land_size_acres,has_feeding_program,has_kitchen,has_store_room,has_outdoor_materials,has_eating_utensils,distance_nearest_health_primary_school,primary_school_name,distance_nearest_health_facility_kilometers,health_facility_name,observation,logs,ta
87,1444,MUDI CBCC,,,CG,888264280,Bwanasompho,Blantyre,,30506173,T. Limbani,05-Aug-13,,Chalamanda,Kuntaja,Sigerege,-15.806032,34.884075,701804,8251616,,Chilingani,2,1,3,0,0,0,2,1,3,0,1,1,6,4,10,1,0,1,26,33,59,25,25,50,15,5,20,6,4,10,0,0,0,0,Temporary,1,1,1,1,1,River,150,0,,0,,1,0,0,0,1,1.5,,2,,,,
87,1446,MTULA CBCC,,,CG,881259659,Bwanasompho,Blantyre,,30506175,T. Limbani,05-Aug-13,,Kajawo,Kapeni,Chimembe,-15.787297,34.878723,701249,8253694,,Chilingani,0,5,5,0,0,0,0,5,5,0,1,1,1,6,7,0,0,0,20,36,56,3,3,6,2,4,6,4,7,11,0,0,0,0,Temporary,1,0,,0,1,River,200,0,,0,,0,0,0,0,0,1,,1,,People are willing to do the work but they need training in child care and CBCC management,,
87,1276,MLAMBE CBCC,,,CG,991872513,Bwanasompho,Blantyre,,30506005,T. Limbani,29-Jul-13,,Chamba/ Kapenuka,Kuntaja,Sigerege,-15.793819,34.915519,705186,8252937,,Chilingani,1,2,3,0,0,0,1,2,3,0,0,0,4,6,10,0,0,0,28,36,64,7,8,15,6,9,15,6,10,16,1,1,2,0,Permanent,3,1,2,1,1,River,51,1,,1,,1,0,0,0,0,6,,8,,There is need of borehole as well as the play material and the caregivers training,,
87,1279,CHIBANZI CBCC,,,CG,888246276,Bwanasompho,Blantyre,,30506008,T. Limbani,29-Jul-13,,Ndeketa,Kuntaja,Bwanasompho,-15.776086,34.904974,704073,8254909,,Chilingani,2,1,3,0,0,0,2,1,3,0,1,1,3,7,10,0,0,0,15,39,54,9,18,27,5,15,20,6,10,16,4,0,4,0,,,1,2,1,1,Unprotected Well,42,1,1,1,0.5,1,0,0,0,0,8,,10,,The centre is located between 3 rivers and there is need of junior primary school,,
87,1277,BWANASOMPHO CBCC,,,CG,08810019971/0991732873,Bwanasompho,Blantyre,,30506006,T. Limbani,29-Jul-13,,Bwanasompho,Kuntaja,Sigerege,-15.794068,34.898667,703380,8252926,,Chiliyani,2,2,4,0,0,0,2,2,4,0,1,1,6,4,10,0,0,0,76,42,118,27,19,46,16,16,32,41,36,77,2,0,2,0,Temporary,1,1,2,0,1,River,150,1,4,0,,0,0,0,0,0,1,,7,,0 eating utensils and almost all the CBCC committed did 0t frained,,
87,1282,KACHERE CBCC,,,CG,884040860,Bwanasompho,Blantyre,,30506011,T. Limbani,29-Jul-13,,Lapani,Kuntaja,Sigerege,-15.771806,34.916891,705355,8255371,,Chilingani,1,2,3,0,0,0,1,2,3,1,0,1,6,4,10,0,0,0,20,25,45,12,18,30,4,6,10,3,2,5,0,1,1,0,,,1,1,1,1,Borehole,60,1,1,1,0.5,1,0,0,0,0,4,,10,,There is need of capacity building for caregivers and the committee,,
87,1241,TALANDILA CBCC,,,CG,884768160,Bwanahaji,Blantyre,,30501079,Hastings Zakeyu,13-Jun-13,,Machinjiri,Machinjiri,Machinjiri,-15.588634,35.045325,719314,8275514,"SOS, UNICEF, Save",Cholinga,5,16,21,0,3,3,5,14,19,0,0,0,5,5,10,0,0,0,30,22,52,16,9,25,8,9,17,0,0,0,0,0,0,0,Permanent,1,1,2,1,1,Borehole,100,0,,0,,1,1,1,1,1,0.2,,0.02,,,,
87,1093,MO0NGA CBCC,,,CG,888052108,Chibweya,Blantyre,,30503001,J. Manyumba,10-Jun-13,,Mo0nga,Chigaru,Mdeka,-15.421831,34.950664,709329,8294068,Ligth House,Zisinthe,0,4,4,0,0,0,0,4,4,0,0,0,1,9,10,0,0,0,18,18,36,14,16,30,0,0,0,2,3,5,0,0,0,0,,,0,,0,1,Borehole,1000,0,,0,,1,0,0,0,0,2,,6,,,,
87,1094,CHIYANJA0 PVT,,,CG,888401672,Chibweya,Blantyre,,30503002,J. Manyumba,10-Jun-13,,Mwasiya,Chigaru,Mdeka,-15.423354,34.944855,708704,8293906,,Zisinthe,0,2,2,0,0,0,0,2,2,0,0,0,0,4,4,0,0,0,19,17,36,4,7,11,4,6,10,0,2,2,1,0,1,0,Temporary,1,1,1,0,1,Borehole,500,0,,0,,1,0,0,0,0,1,,4,,The CBCC is being supported by a poor disabled person,,
87,1098,GOODNEWS CBCC,,,CG,884911127,Chigalu,Blantyre,,30503006,,10-Jun-13,,M'bwana,Chigaru,Lirangwe,-15.470103,35.014036,716082,8288664,,Chikwembere,0,5,5,0,0,0,0,5,5,2,1,3,6,4,10,3,4,7,11,15,26,11,15,26,2,2,4,3,2,5,0,0,0,0,Temporary,1,1,1,0,1,Borehole,100,1,1,0,,0,0,0,0,0,2,,4,,,,
87,1097,CHENGA CBCC,,,CG,888155616,Chigalu,Blantyre,,30503005,,10-Jun-13,,Issah,Chigaru,Lirangwe,-15.491025,34.989305,713406,8286373,,Chikwembere,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,30,33,63,0,0,0,2,5,7,0,1,1,0,0,0,0,Temporary,1,0,,0,1,Borehole,2000,1,,0,,1,0,0,0,1,1,,4,,,,
87,1508,TADALA PVT,,,CG,Bertha Bodo,Chiimire,Blantyre,,30539045,Lovemore Benito,01-Oct-13,,Mkoka,Somba,Nancholi,-15.7607,35.007699,715098,8256510,,,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,10,18,28,0,0,0,0,0,0,1,1,2,5,7,12,0,Semi Permanent,1,1,1,1,1,Borehole,200,0,,0,,0,0,0,1,0,3,,6,,,,
87,1710,MWANDIKA CBCC,,,Helbert Chinkopa,88498351,Chiimire,Blantyre,,30508065,Lovemore Benito,21-Aug-13,,Mwandira,Blantyre City,"Blantyre, Manyowe, Nancholi",-15.82332,34.9663,710596,8249622,Joshua Trust,Joshua,2,0,2,0,4,4,2,4,6,0,0,0,0,0,0,0,0,0,25,43,68,0,0,0,0,0,0,9,6,15,0,0,0,0,Permanent,1,1,1,1,1,Borehole,200,0,,0,,1,1,1,1,1,2,,4,,,Likhubula Ward,
87,1712,MKOKA CBCC,,,CG,888053762,Chiimire,Blantyre,,30508067,Lovemore Benito,21-Aug-13,,Mkoka,Somba,Nancholi,-15.828818,34.976437,711677,8249003,,Kalitsiro,0,6,6,0,0,0,1,0,1,0,4,4,2,9,11,3,0,3,37,34,71,0,0,0,0,0,0,3,5,8,0,0,0,0,Permanent,1,1,2,1,1,Borehole,500,1,1,1,0.5,1,0,0,0,0,,,,,,,
87,1559,CHISOMO CBCC,,,CG,884004224,Chimbiya,Blantyre,,30507015,George,10-Sep-13,,Laiti,Machinjiri,Limbe,-15.703168,35.111721,726310,8262768,,Chipande,0,2,2,0,0,0,0,2,2,0,0,0,2,8,10,0,0,0,7,13,20,3,3,6,4,6,10,4,7,11,0,0,0,0,Temporary,1,0,,0,1,Unprotected Well,2,0,,0,,0,0,0,0,0,0.2,,9,,,,
87,1594,CHIMWEMWE CBCC,,,CG,881971846,Chiimire,Blantyre,,30533033,Patricia Fatch,11-Dec-13,,Nancholi,Somba,Nancholi Market,-15.82412,34.985965,712702,8249513,Joshua Trust,Namasimba and Kamsinje,0,2,2,0,0,0,0,2,2,0,2,2,2,8,10,0,0,0,43,45,88,36,20,56,14,10,24,13,9,22,0,0,0,0,Permanent,2,1,2,1,1,Tap,50,1,0.25,0,,1,1,1,0,1,3,,6,,,,
87,1427,MTEFULA CBCC,,,CG,882225757,Chintumbira,Blantyre,,30506156,Greyson Mkwaila,06-Sep-13,,Mtefula,Blantyre City,Mazia,-15.712867,34.934357,707286,8261877,,Michiru,1,1,2,0,0,0,1,1,2,1,1,2,3,7,10,0,0,0,9,16,25,5,10,15,5,7,12,2,2,4,2,0,2,0,Temporary,1,1,1,1,1,Borehole,450,1,1,0,,1,0,0,0,0,2,,6,,,Nancholi Ward,
87,1432,MICHIRU CBCC,,,CG,997079878,Chintumbira,Blantyre,,30506161,Greyson Mkwaira,06-Sep-13,,Chintumbira,Kuntaja,Chileka,-15.69669,34.949374,708912,8263652,DAPP,Michiru,0,2,2,0,0,0,0,2,2,0,2,2,5,10,15,2,0,2,30,48,78,19,31,50,10,10,20,4,6,10,1,0,1,0,Semi Permanent,1,1,1,1,1,Borehole,350,1,0.25,0,,1,0,0,0,1,0.3,,5,,,,
87,1433,CHITIMBE 2 CBCC,,,CG,882650126,Chintumbira,Blantyre,,30506162,Bridget Mpata,06-Sep-13,,Njolomole,Kuntaja,Michiru,-15.687857,34.931861,707044,8264647,DAPP,Michiru,0,4,4,0,4,4,0,0,0,1,3,4,4,6,10,0,1,1,5,10,15,3,6,9,0,0,0,1,3,4,0,0,0,0,Semi Permanent,1,0,,0,1,Borehole,100,1,0.25,1,0.025,0,0,0,1,0,1.3,,6,,,,
87,1428,CHITIMBE 1 CBCC,,,,,Chintumbira,Blantyre,,30506157,Andrew Kamba,06-Sep-13,,Muotcha,Kuntaja,Michilu,-15.702174,34.941309,708042,8263053,Stepha0,Michiru,0,2,2,0,2,2,0,0,0,0,0,0,5,5,10,0,0,0,21,24,45,17,19,36,4,4,8,4,8,12,0,0,0,0,Permanent,1,1,2,1,1,Borehole,300,1,0.5,0,,1,0,0,0,1,1,,6,,,,
87,1239,YAKHO CBCC,,,CG,884507523,Jameson,Blantyre,,30501077,J. Manyumba,13-Jun-13,,Disi,Kapeni,Lunzu,-15.581357,35.023885,717022,8276341,,Chinasungwi,0,3,3,0,0,0,0,3,3,0,0,0,5,5,10,0,0,0,7,16,23,2,8,10,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,Borehole,100,1,0.25,0,,0,0,0,0,0,1,,4,,,,
87,1244,TIYANJANE 1 CBCC,,,CG,997648507,Jameson,Blantyre,,30501082,J. Manyumba,13-Jun-13,,Kumpita,Kapeni,Lunzu,-15.57478,35.031566,717853,8277061,,Chinasungwi,1,3,4,0,0,0,1,3,4,0,0,0,1,9,10,10,0,10,14,11,25,9,10,19,5,3,8,4,2,6,0,0,0,0,,,0,,0,1,Protected Well,1000,1,1,0,,0,0,0,0,1,2,,4,,,,
87,1240,TIYAMIKE 2,,,CG,888307343,Jameson,Blantyre,,30501078,J. Manyumba,13-Jun-13,,Kaponya,Kapeni,,-15.582358,35.039129,718656,8276215,,Chinasungwi,1,2,3,1,2,3,0,0,0,0,1,1,3,5,8,8,0,8,16,18,34,4,8,12,2,4,6,1,0,1,0,0,0,0,,,0,,0,1,Borehole,100,0,,0,,1,0,0,1,1,0.5,,,,,,
87,1243,TIYAMIKE 1,,,CG,997639561,Jameson,Blantyre,,30501081,J. Manyumba,13-Jun-13,,Namonde,Kapeni,Lunzu,-15.561936,35.043005,719094,8278471,,Chinasungwi,0,3,3,0,1,1,0,3,3,1,1,2,4,6,10,10,0,10,17,22,39,8,14,22,1,5,6,1,2,3,2,0,2,0,Temporary,1,0,,0,1,River,2000,1,0.5,0,,1,0,0,0,1,2,,7,,,,
87,1222,TALANDIRA CBCC,,,CG,991922544,Jameson,Blantyre,,30501060,J. Manyumba,15-Jun-13,,Chimaimba,Kapeni,Lunzu,-15.628828,35.061713,721029,8271049,,Chinasungwi,0,3,3,0,1,1,0,2,2,0,0,0,5,5,10,10,0,10,13,17,30,16,16,32,4,2,6,3,2,5,0,0,0,0,Temporary,1,0,,0,1,Borehole,50,1,1,1,0.25,1,0,0,0,1,1.5,,7,,,,
